0.00228,0.000832
0.00081,0.000599
0.00071,0.000738
0.00086,0.000825
0.02458,0.001040
0.00131,0.001103
0.00109,0.000765
0.00088,0.000754
0.00084,0.000730
0.00085,0.000758
0.00083,0.000729
0.00083,0.000720
0.00086,0.000769
0.00084,0.000747
0.00089,0.000738
0.00084,0.000736
0.00086,0.000789
0.00086,0.000767
0.00084,0.000769
0.00086,0.000722
0.00083,0.000718
0.00085,0.000648
0.00077,0.000637
0.00935,0.000446
0.00039,0.000395
0.00039,0.000396
0.00038,0.000388
0.00039,0.000362
0.00040,0.000368
0.00036,0.000349
0.00041,0.000309
0.00036,0.000333
0.00036,0.000335
0.00042,0.000399
0.00030,0.005641
0.00038,0.000329
0.00389,0.000424
0.00037,0.000361
0.00039,0.000385
0.00054,0.000370
0.00038,0.000349
0.00035,0.000351
0.00035,0.000351
0.00033,0.000308
0.00036,0.000328
0.00033,0.000317
0.00033,0.000314
0.00033,0.000307
0.00033,0.000313
0.00033,0.000310
0.00033,0.000348
0.00033,0.000310
0.00033,0.000309
0.00039,0.000351
0.00035,0.000330
0.00034,0.000312
0.00035,0.000310
0.00033,0.000310
0.00032,0.000312
0.00033,0.000314
